biglabel,id,name,market_name,price,exterior_wear,quality,rarity,type,weapon_type
Knives,43053,自动化,★ M9 Bayonet | Autotronic (Battle-Scarred),6081,1,8,5,10,M9 刺刀
Knives,42674,致命紫罗兰,★ Falchion Knife | Ultraviolet (Field-Tested),765,3,8,5,10,弯刀
Knives,43528,多普勒,★ StatTrak? Flip Knife | Doppler (Factory New),3243,5,10,5,10,折叠刀
Knives,871895,传说,★ Huntsman Knife | Lore (Minimal Wear),1650,4,8,5,10,猎杀者匕首
Knives,759456,狩猎网格,★ Stiletto Knife | Safari Mesh (Minimal Wear),1225,4,8,5,10,短剑
Knives,43834,屠夫,★ StatTrak? M9 Bayonet | Slaughter (Minimal Wear),6888,4,10,5,10,M9 刺刀
Knives,776153,都市伪装,★ Skeleton Knife | Urban Masked (Field-Tested),1797,3,8,5,10,骷髅匕首
Knives,42672,致命紫罗兰,★ Falchion Knife | Ultraviolet (Battle-Scarred),703,1,8,5,10,弯刀
Knives,956656,蓝钢,★ Kukri Knife | Blue Steel (Field-Tested),2530,3,8,5,10,weapon_knife_kukri
Knives,42551,大马士革钢,★ Butterfly Knife | Damascus Steel (Factory New),7799.5,5,8,5,10,蝴蝶刀
Knives,43017,渐变大理石,★ Karambit | Marble Fade (Factory New),9740.5,5,8,5,10,爪子刀
Knives,759326,锯齿爪刀（★）,★ Talon Knife,3158.5,0,8,5,10,锯齿爪刀
Knives,42684,自动化,★ Flip Knife | Autotronic (Factory New),3376.5,5,8,5,10,折叠刀
Knives,872518,传说,★ StatTrak? Butterfly Knife | Lore (Minimal Wear),12998,4,10,5,10,蝴蝶刀
Knives,42994,大马士革钢,★ Karambit | Damascus Steel (Factory New),5869.99,5,8,5,10,爪子刀
Knives,871868,黑色层压板,★ Butterfly Knife | Black Laminate (Well-Worn),6496,2,8,5,10,蝴蝶刀
Knives,776766,枯焦之色,★ Paracord Knife | Scorched (Field-Tested),589,3,8,5,10,系绳匕首
Knives,42871,都市伪装,★ Gut Knife | Urban Masked (Field-Tested),557.5,3,8,5,10,穿肠刀
Knives,773798,森林DDPAT,★ Classic Knife | Forest DDPAT (Field-Tested),809,3,8,5,10,海豹短刀
Knives,776684,屠夫,★ Nomad Knife | Slaughter (Minimal Wear),3281.5,4,8,5,10,流浪者匕首
Knives,42871,都市伪装,★ Gut Knife | Urban Masked (Field-Tested),557.5,3,8,5,10,穿肠刀
Knives,773798,森林DDPAT,★ Classic Knife | Forest DDPAT (Field-Tested),809,3,8,5,10,海豹短刀
Knives,776684,屠夫,★ Nomad Knife | Slaughter (Minimal Wear),3281.5,4,8,5,10,流浪者匕首
Knives,769540,致命紫罗兰,★ Stiletto Knife | Ultraviolet (Field-Tested),1687.5,3,8,5,10,短剑
Knives,43091,多普勒,★ M9 Bayonet | Doppler (Factory New),8380,5,8,5,10,M9 刺刀
Knives,776044,夜色,★ Skeleton Knife | Night Stripe (Well-Worn),2133,2,8,5,10,骷髅匕首
Knives,759564,表面淬火,★ Navaja Knife | Case Hardened (Field-Tested),809,3,8,5,10,折刀
Knives,42533,蓝钢,★ Butterfly Knife | Blue Steel (Field-Tested),7154.5,3,8,5,10,蝴蝶刀
