biglabel,biglabel_link,id,name,market_name,price,exterior_wear,quality,rarity,type,weapon_type
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43053,M9 刺刀（★） | 自动化 (战痕累累),★ M9 Bayonet | Autotronic (Battle-Scarred),6081,战痕累累,★,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42674,弯刀（★） | 致命紫罗兰 (久经沙场),★ Falchion Knife | Ultraviolet (Field-Tested),765,久经沙场,★,隐秘,匕首,弯刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43528,折叠刀（★ StatTrak?） | 多普勒 (崭新出厂),★ StatTrak? Flip Knife | Doppler (Factory New),3243,崭新出厂,★ StatTrak?,隐秘,匕首,折叠刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,871895,猎杀者匕首（★） | 传说 (略有磨损),★ Huntsman Knife | Lore (Minimal Wear),1650,略有磨损,★,隐秘,匕首,猎杀者匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,759456,短剑（★） | 狩猎网格 (略有磨损),★ Stiletto Knife | Safari Mesh (Minimal Wear),1225,略有磨损,★,隐秘,匕首,短剑
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,43834,M9 刺刀（★ StatTrak?） | 屠夫 (略有磨损),★ StatTrak? M9 Bayonet | Slaughter (Minimal Wear),6888,略有磨损,★ StatTrak?,隐秘,匕首,M9 刺刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,776153,骷髅匕首（★） | 都市伪装 (久经沙场),★ Skeleton Knife | Urban Masked (Field-Tested),1797,久经沙场,★,隐秘,匕首,骷髅匕首
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42672,弯刀（★） | 致命紫罗兰 (战痕累累),★ Falchion Knife | Ultraviolet (Battle-Scarred),703,战痕累累,★,隐秘,匕首,弯刀
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,956656,廓尔喀刀（★） | 蓝钢 (久经沙场),★ Kukri Knife | Blue Steel (Field-Tested),2530,久经沙场,★,隐秘,匕首,weapon_knife_kukri
Knives,https://buff.163.com/api/market/goods?game=csgo&page_num=1&category_group=knife&use_suggestion=0&trigger=undefined_trigger&_=1717722161037,42551,蝴蝶刀（★） | 大马士革钢 (崭新出厂),★ Butterfly Knife | Damascus Steel (Factory New),7799.5,崭新出厂,★,隐秘,匕首,蝴蝶刀
