时间,价格,平台Steam参考价格,在售数量,求购最高价,求购数量
2024/5/15 14:28,15065,15366.26,821,14680,20
2024/5/15 15:28,15049.5,15365.76,830,14680,18
2024/5/15 16:28,14998,15297.98,837,14680,19
2024/5/15 17:30,15034.5,15300,833,14680,20
2024/5/15 18:35,15029.5,15300,833,14680,20
2024/5/15 19:36,15000,15300,836,14680,21
2024/5/15 20:36,15029.5,15300,835,14750,22
2024/5/15 21:35,15028.5,15300,838,14750,22
2024/5/15 22:35,15029,15329.59,839,14770,22
2024/5/15 23:36,15029,15329.59,837,14780,21
2024/5/16 0:38,15029,15329.59,835,14780,20
2024/5/16 1:38,15029,15328.58,834,14700,20
2024/5/16 2:37,15029,15328.58,834,14700,19
2024/5/16 3:37,15029,15297,833,14700,19
2024/5/16 4:37,15029,15328.55,834,14700,18
2024/5/16 5:39,15029,15328.55,834,14700,19
2024/5/16 6:39,15029,14820.57,836,14700,20
2024/5/16 7:40,15029,14820.57,834,14720,20
2024/5/16 8:41,15029,14820.57,832,14690,20
2024/5/16 9:42,15029,14820.57,832,14680,19
2024/5/16 10:43,15034.5,15329.56,829,14680,20
2024/5/16 11:48,15029.5,15329.56,831,14850,24
2024/5/16 12:51,15029.5,15330.06,829,14850,27
2024/5/16 13:52,15029,15330.06,830,14850,27
2024/5/16 14:50,15029,15329.56,827,14850,28
2024/5/16 15:51,15028.5,15329.56,829,14800,24
2024/5/16 16:50,15028.5,15329.05,831,14800,21
2024/5/16 17:51,15100,15300.03,826,14800,22
2024/5/16 18:53,15099,15351,830,14800,22
2024/5/16 19:53,15190,15400.95,830,14800,21
2024/5/16 20:53,15100,15328.55,828,14800,22
2024/5/16 21:55,15189.5,15493.28,829,14810,24
2024/5/16 22:53,15250,15351,827,14830,24
2024/5/16 23:52,15250,15504.04,826,14850,24
2024/5/17 0:54,15250,15555,824,14840,23
2024/5/17 1:54,15250,15330.06,824,14710,25
2024/5/17 2:54,15250,15136.82,829,14720,24
2024/5/17 3:00,15250,15136.82,829,14720,24
2024/5/17 4:02,15250,15136.82,830,14740,25
2024/5/17 5:02,15250,15136.81,829,14760,25
2024/5/17 6:00,15250,15136.81,829,14760,25
2024/5/17 7:00,15250,15136.81,831,14760,25
2024/5/17 8:00,15250,15136.81,831,14780,25
2024/5/17 9:00,15250,15136.81,829,14790,25
2024/5/17 10:02,15250,15555,832,14790,25
2024/5/17 11:02,15250,15555,833,14700,24
2024/5/17 12:01,15250,15555,835,14720,24
2024/5/17 13:02,15250,15555,839,14720,24
2024/5/17 14:02,15230,15555,841,14730,25
2024/5/17 15:01,15198,15034.8,842,14740,25
2024/5/17 16:03,15140,15501.94,852,14740,28
2024/5/17 17:03,15140,15432.56,854,14750,35
2024/5/17 18:03,15118,15442.82,855,14810,37
2024/5/17 19:04,15140,15442.31,854,14810,37
2024/5/17 20:04,15152,15442.82,854,14800,36
2024/5/17 21:03,15152,15455.02,854,14800,34
2024/5/17 22:03,15152,15300.03,851,14820,34
